State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Ahmedabad,Mandal,Ajwan,Ajwan,FAQ,05-10-2025,5255,12555,9000
Gujarat,Ahmedabad,Mandal,Cummin Seed(Jeera),Other,FAQ,05-10-2025,16505,18505,17500
Gujarat,Chhota Udaipur,Hadad    ,Cotton,Shanker 6 (B) 30mm FIne,FAQ,05-10-2025,7000,7200,7100
Gujarat,Navsari,Navsari,Lemon,Lemon,FAQ,05-10-2025,3500,4000,3750
Gujarat,Navsari,Navsari,Tomato,Other,FAQ,05-10-2025,500,2000,1250
Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,Apple,Medium,05-10-2025,2000,8000,5000
Gujarat,Rajkot,Gondal(Veg.market Gondal),Bhindi(Ladies Finger),Bhindi,FAQ,05-10-2025,1000,4000,2500
Gujarat,Rajkot,Gondal(Veg.market Gondal),Carrot,Carrot,FAQ,05-10-2025,2500,4500,3500
Gujarat,Rajkot,Gondal(Veg.market Gondal),Lemon,Other,FAQ,05-10-2025,1000,4000,2500
Haryana,Gurgaon,Gurgaon,Bitter gourd,Other,FAQ,05-10-2025,1500,2500,2000
Haryana,Gurgaon,Gurgaon,Onion,Other,FAQ,05-10-2025,1000,1500,1250
Haryana,Hissar,Barwala(Hisar),Cabbage,Other,FAQ,05-10-2025,2000,2500,2400
Haryana,Hissar,Barwala(Hisar),Lemon,Other,FAQ,05-10-2025,4000,5000,4500
Haryana,Hissar,Barwala(Hisar),Long Melon(Kakri),Long Melon (Kakri),FAQ,05-10-2025,800,1000,900
Haryana,Hissar,Barwala(Hisar),Tinda,Other,FAQ,05-10-2025,3000,3500,3200
Haryana,Hissar,Hansi,Apple,Other,Medium,05-10-2025,5000,10000,8000
Haryana,Hissar,Hansi,Cauliflower,Other,FAQ,05-10-2025,4000,5000,4500
Haryana,Hissar,Hansi,Cucumbar(Kheera),Other,FAQ,05-10-2025,2000,4000,3000
Haryana,Hissar,Hansi,Mousambi(Sweet Lime),Other,Medium,05-10-2025,3000,5000,4000
Haryana,Hissar,Hansi,Potato,Other,FAQ,05-10-2025,1000,3500,1500
Haryana,Hissar,Hansi,Pumpkin,Other,FAQ,05-10-2025,1000,2000,1500
Haryana,Hissar,Hansi,Sweet Potato,Other,FAQ,05-10-2025,4000,5000,5000
Haryana,Hissar,Uklana,Apple,Apple,Medium,05-10-2025,4500,5000,5000
Haryana,Hissar,Uklana,Bottle gourd,Bottle Gourd,FAQ,05-10-2025,1300,1400,1400
Haryana,Hissar,Uklana,Cucumbar(Kheera),Cucumbar,FAQ,05-10-2025,1400,1400,1400
Haryana,Panipat,Panipat,Apple,Other,Medium,05-10-2025,2000,8000,5000
Haryana,Panipat,Panipat,Brinjal,Arkasheela Mattigulla,FAQ,05-10-2025,500,1500,1000
Haryana,Panipat,Panipat,Cabbage,Other,FAQ,05-10-2025,800,2000,1400
Kerala,Kannur,Kannur,Cowpea(Veg),Cowpea (Veg),FAQ,05-10-2025,3500,4000,3700
Kerala,Kannur,Kannur,Cucumbar(Kheera),Cucumbar,FAQ,05-10-2025,3400,3800,3600
Kerala,Kollam,Anchal,Banana,Poovan,Medium,05-10-2025,7000,7200,7100
Kerala,Kollam,Anchal,Banana,Red Banana,Medium,05-10-2025,6700,6900,6800
Kerala,Kollam,Anchal,Pumpkin,Pumpkin,FAQ,05-10-2025,2600,2800,2700
Kerala,Kollam,Anchal,Snakeguard,Snakeguard,FAQ,05-10-2025,4500,4700,4600
Kerala,Kollam,Anchal,Tomato,Hybrid,FAQ,05-10-2025,3600,3800,3700
Kerala,Kottayam,Thalayolaparambu,Amaranthus,Amaranthus,FAQ,05-10-2025,2700,3100,2800
Kerala,Kottayam,Thalayolaparambu,Banana,Poovan,Medium,05-10-2025,5200,5600,5400
Kerala,Kottayam,Thalayolaparambu,Bhindi(Ladies Finger),Bhindi,FAQ,05-10-2025,3200,3500,3300
Kerala,Kottayam,Thalayolaparambu,Little gourd (Kundru),Other,FAQ,05-10-2025,3900,4300,4000
Kerala,Kottayam,Thalayolaparambu,Onion,Big,FAQ,05-10-2025,2200,2500,2300
Kerala,Kottayam,Thalayolaparambu,Onion,Onion,FAQ,05-10-2025,4000,4400,4200
Kerala,Kottayam,Thalayolaparambu,Pineapple,Pine Apple,Medium,05-10-2025,6500,6800,6600
Kerala,Kottayam,Thalayolaparambu,Pumpkin,Pumpkin,FAQ,05-10-2025,2600,2800,2700
Kerala,Palakad,Elevancheri VFPCK,Snakeguard,Snakeguard,FAQ,05-10-2025,1500,1700,1600
Kerala,Thiruvananthapuram,Neyyattinkara  VFPCK,Banana,Nendra Bale,Medium,05-10-2025,2500,3500,3000
Kerala,Thiruvananthapuram,Neyyattinkara  VFPCK,Cowpea(Veg),Cowpea (Veg),FAQ,05-10-2025,6000,7000,6500
Kerala,Thiruvananthapuram,Neyyattinkara  VFPCK,Elephant Yam (Suran),Elephant Yam (Suran),FAQ,05-10-2025,2000,2800,2500
Madhya Pradesh,Alirajpur,Jobat,Wheat,Wheat,FAQ,05-10-2025,2500,2500,2500
Madhya Pradesh,Anupur,Anuppur,Wheat,Wheat,Non-FAQ,05-10-2025,2350,2350,2350
Madhya Pradesh,Betul,Betul(F&V),Cabbage,Cabbage,FAQ,05-10-2025,800,1000,900
Madhya Pradesh,Betul,Betul(F&V),Onion,1st Sort,FAQ,05-10-2025,1000,2000,1500
Madhya Pradesh,Betul,Multai(F&V),Cucumbar(Kheera),Cucumbar,FAQ,05-10-2025,500,700,600
Madhya Pradesh,Chhatarpur,Badamalhera,Soyabean,Soyabeen,FAQ,05-10-2025,3750,4000,3800
Madhya Pradesh,Dhar,Dhamnod,Maize,Local,FAQ,05-10-2025,1600,1600,1600
Madhya Pradesh,Dhar,Kukshi,Cotton,Without Ginned Cotton,FAQ,05-10-2025,6100,6200,6200
Madhya Pradesh,Dhar,Manawar,Soyabean,Soyabeen,FAQ,05-10-2025,3750,3850,3850
Madhya Pradesh,Katni,Katni,Wheat,Local,Non-FAQ,05-10-2025,2450,2450,2450
Madhya Pradesh,Khandwa,Pandhana,Bengal Gram(Gram)(Whole),Desi (F.A.Q. Split),FAQ,05-10-2025,5300,5300,5300
Madhya Pradesh,Khandwa,Pandhana,Wheat,Lokwan,FAQ,05-10-2025,2570,2615,2615
Madhya Pradesh,Khargone,Bhikangaon,Wheat,Mill Quality,FAQ,05-10-2025,2500,2500,2500
Madhya Pradesh,Khargone,Segaon,Soyabean,Soyabeen,Non-FAQ,05-10-2025,3500,3500,3500
